Crisis ID,Type of Personal Crisis,What,Where,When,How,Severity,Duration
1,Relationship Issue,relationship issue,"4072 Hale Isle, South Danielfort, VA 13178",27-04-2023 00:42,family conflict,very low,within 1 hour
2,Health Issue,health issue,"6025 Justin Centers Suite 066, Walkerfurt, GA 59126",13-08-2023 17:50,sickness,low,within 3 hours
3,Health Issue,sickness,"24872 Kaufman Cove Suite 738, Gonzalezshire, KS 88096",15-12-2022 14:00,illness,moderate,within 1 hour
4,Health Issue,sickness,"USCGC Sampson, FPO AP 68067",15-08-2020 10:13,illness,high,within 5 hours
5,Health Issue,illness,"025 Abigail Stravenue, West Austin, AK 59423",22-03-2022 00:28,medical condition,very high,within 2 hours
6,Substance Abuse,drug abuse,"450 Jennifer Spur Apt. 183, West Benjaminfort, WI 44093",26-04-2023 04:42,substance abuse,moderate,within 1 hour
7,Relationship Issue,relationship issue,"04770 Anthony Estate, Port Anthonyhaven, SD 87445",16-06-2023 19:17,breakup,low,within 4 hours
8,Health Issue,injury,"2396 Mack Pass Apt. 567, Lake Russellhaven, PW 78916",07-09-2020 22:50,injury,high,within 4 hours
9,Mental Health Concern,trauma,"73992 Davenport Station Suite 957, Robertburgh, TX 68367",09-06-2022 15:12,anxiety,moderate,within 3 hours
10,Relationship Issue,breakup,"0857 Randy Mission, Joshuabury, PW 08057",23-03-2024 23:34,breakup,high,within 1 hour
11,Financial Problem,bankruptcy,"04747 Christopher Manors Suite 121, New Valerie, FL 55383",31-05-2023 17:13,money issue,high,within 1 hour
12,Health Issue,health issue,"10498 Denise Club, Michaelstad, AR 43683",06-07-2020 12:02,illness,low,within 1 hour
13,Financial Problem,poverty,"105 Jennifer Glen, Lake Tiffany, GA 43917",18-02-2022 08:13,money issue,high,within 4 hours
14,Financial Problem,debt,"16669 Villanueva Port Apt. 436, Reesetown, OK 73553",22-05-2020 07:15,money issue,high,within 4 hours
15,Mental Health Concern,mental health concern,"49010 Nicholas Views Suite 655, North Christopher, VT 09454",11-02-2022 14:02,anxiety,moderate,within 3 hours
16,Mental Health Concern,anxiety,"6569 Randall Forge Suite 668, Port Tracy, LA 40583",04-12-2023 17:27,anxiety,high,within 5 hours
17,Financial Problem,bankruptcy,"09762 Silva Stravenue, Smithland, GA 42654",13-03-2021 04:03,debt,low,within 1 hour
18,Financial Problem,bankruptcy,"282 Mendoza Station Apt. 497, Pattersonmouth, NC 99248",08-03-2024 02:16,financial problem,high,within 4 hours
19,Financial Problem,poverty,"54212 Elizabeth Ford, Harrellmouth, RI 93938",22-08-2020 08:59,debt,low,within 4 hours
20,Financial Problem,poverty,"30672 Anthony Cliff Suite 032, Suttonton, NM 54333",28-06-2021 04:01,debt,high,within 6 hours
21,Mental Health Concern,mental health concern,"686 Norman Point, New Amberhaven, WI 40814",26-06-2021 17:17,mental health concern,moderate,within 1 hour
22,Health Issue,injury,"6763 Crystal Turnpike Apt. 858, South Kimberly, KS 08806",27-05-2022 04:02,medical condition,moderate,within 2 hours
23,Financial Problem,debt,"287 William Pines, Skinnerstad, WA 32666",20-04-2021 14:35,poverty,very high,within 3 hours
24,Health Issue,sickness,"9067 Brenda Streets, North Ann, CT 57391",28-02-2021 13:54,medical condition,low,within 1 hour
25,Mental Health Concern,mental health concern,"163 Belinda Fort Suite 863, Jasmineside, UT 77526",19-08-2023 05:46,stress,high,within 6 hours
26,Financial Problem,money issue,"1975 Jackson Square Apt. 919, Mooreport, SD 45439",06-06-2020 11:08,debt,moderate,within 4 hours
27,Mental Health Concern,mental health concern,"98624 Andrew Ville Apt. 008, Mariefort, OR 33391",14-05-2022 01:10,depression,very high,within 6 hours
28,Relationship Issue,divorce,"1836 Robertson Courts, Hillberg, TN 16488",06-02-2024 06:19,loneliness,high,within 6 hours
29,Health Issue,health issue,"02940 Knight Circle Suite 975, Jamesview, AK 78914",02-03-2022 07:09,health issue,high,within 5 hours
30,Financial Problem,debt,"Unit 2447 Box 6840, DPO AA 66581",02-10-2021 14:30,financial problem,low,within 3 hours
31,Financial Problem,bankruptcy,"89645 Miller Lights, Josephmouth, GA 81983",30-01-2021 02:09,financial problem,very low,within 4 hours
32,Substance Abuse,substance abuse,"77173 Williams Ports Apt. 788, Lake Brandon, KS 23250",14-04-2022 17:13,alcoholism,high,within 6 hours
33,Mental Health Concern,mental health concern,"0766 Diaz Cape, West Lukestad, VT 41045",04-08-2022 03:23,depression,moderate,within 4 hours
34,Relationship Issue,breakup,"74551 George Fort, South Ambermouth, TX 93207",16-01-2023 05:48,breakup,very low,within 5 hours
35,Substance Abuse,substance abuse,"78673 Kimberly Station Apt. 086, East Stephanie, TX 41445",22-03-2020 11:20,substance abuse,moderate,within 4 hours
36,Relationship Issue,loneliness,"1719 Alfred Drive Suite 981, Thomasfort, FM 65356",30-05-2021 02:40,loneliness,moderate,within 5 hours
37,Mental Health Concern,depression,"50377 Stephanie Stream Suite 236, North Rachelfort, MO 80371",27-08-2020 07:47,depression,high,within 6 hours
38,Health Issue,health issue,"938 Fletcher Cliffs Apt. 643, North Elijah, SC 10747",19-10-2021 12:22,illness,very high,within 2 hours
39,Financial Problem,money issue,"930 Tara Well Apt. 689, North David, MA 11956",14-01-2023 23:48,financial problem,low,within 3 hours
40,Relationship Issue,divorce,"6934 Misty Manors Suite 384, Morganview, DC 24894",03-01-2020 08:30,family conflict,moderate,within 3 hours
41,Financial Problem,debt,"PSC 0669, Box 9407, APO AE 65442",19-11-2020 09:06,bankruptcy,moderate,within 2 hours
42,Relationship Issue,breakup,"383 Jeffrey Inlet, North Roberthaven, TX 59432",17-12-2022 13:20,breakup,high,within 2 hours
43,Mental Health Concern,depression,"5911 Kimberly Burg, Christopherhaven, OR 17313",29-05-2022 03:27,anxiety,high,within 4 hours
44,Financial Problem,bankruptcy,"46478 Jackson Glens, East Patrickland, ND 84428",03-01-2020 00:30,bankruptcy,very high,within 3 hours
45,Mental Health Concern,stress,"216 Day Rue, Malonetown, WV 87725",28-05-2022 04:57,trauma,low,within 1 hour
46,Mental Health Concern,trauma,"58261 Cassandra Harbor Apt. 245, Davidmouth, IL 41241",21-03-2021 03:15,depression,moderate,within 4 hours
47,Financial Problem,poverty,"2944 Chandler Shoal, New Mark, TX 48839",29-04-2021 11:35,bankruptcy,moderate,within 3 hours
48,Relationship Issue,relationship issue,"198 Joan Tunnel Apt. 707, Cunninghamburgh, PA 06775",20-04-2022 18:34,breakup,very high,within 3 hours
49,Financial Problem,poverty,"5371 Mills Route, Debbiemouth, NV 55990",16-05-2021 04:34,bankruptcy,moderate,within 3 hours
50,Mental Health Concern,mental health concern,"2076 Shelton Plains Apt. 951, Adamsborough, KY 19083",20-11-2020 02:24,stress,low,within 2 hours
51,Relationship Issue,breakup,"16690 Mason Mission Apt. 734, South Samanthaview, AZ 69329",01-02-2021 10:56,relationship issue,high,within 2 hours
